Group,Restrictions,Service,Procedure_Code,Effective_Date
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99201,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99202,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99203,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99204,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99205,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99205,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99211,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99212,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99213,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99214,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99215,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99215,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99381,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99382,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99383,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99384,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99385,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99386,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99387,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99387,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99391,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99392,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99393,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99394,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99395,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99396,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99397,9/23/2010
